viral_NCBI_refname,description
NC_033213.1," Sanxia picorna-like virus 1 strain SXXX37713 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033203.1," Sanxia picorna-like virus 2 strain SXXX37883 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033246.1," Sanxia picorna-like virus 3 strain SXXX36208 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033209.1," Sanxia picorna-like virus 4 strain SXXX37816 hypothetical protein gene, complete cds"
NC_033262.1," Sanxia picorna-like virus 5 strain SXXX34146 hypothetical protein and hypothetical protein 2 genes, complete cds"
NC_033258.1," Sanxia picorna-like virus 8 strain SXXX35540 hypothetical protein gene, complete cds"
NC_033241.1," Sanxia picorna-like virus 9 strain SXXX36560 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033284.1," Sanxia Qinvirus-like virus 1 strain SXXX11646 RNA-dependent RNA polymerase gene, complete cds"
NC_033285.1," Sanxia Qinvirus-like virus 1 strain SXXX11646 hypothetical protein gene, complete cds"
NC_032923.1," Sanxia sobemo-like virus 1 strain SXSSP20269 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_032930.1," Sanxia sobemo-like virus 2 strain SXSSP2316 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032937.1," Sanxia sobemo-like virus 3 strain SXSSP2531 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032918.1," Sanxia sobemo-like virus 4 strain SXSSP2021 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032941.1," Sanxia sobemo-like virus 5 strain SXSSP2561 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033178.1," Sanxia tombus-like virus 1 strain SXXX36383 hypothetical protein 3, hypothetical protein 2, and hypothetical protein 1 genes, complete cds"
NC_033187.1," Sanxia tombus-like virus 2 strain SXXX29202 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033170.1," Sanxia tombus-like virus 3 strain SXXX37381 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033129.1," Sanxia tombus-like virus 4 strain SXXX7002 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033058.1," Sanxia tombus-like virus 5 strain SXSSP12445 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033117.1," Sanxia tombus-like virus 6 strain SXSSP2574 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_032474.1," Sanxia tombus-like virus 7 strain SXSSP2567 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_033068.1," Sanxia tombus-like virus 8 strain SXSSP2544 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033149.1," Sanxia tombus-like virus 9 strain SXXX37849 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033279.1," Sanxia water strider virus 10 strain SXSSP2571 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033286.1," Sanxia water strider virus 10 strain SXSSP2571 segment 2 hypothetical protein 1 gene, complete cds"
NC_032828.1," Sanxia water strider virus 13 strain SXSSP2578 RNA-dependent RNA polymerase gene, complete cds"
NC_033092.1," Sanxia water strider virus 14 strain SXSSP2565 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds"
NC_032471.1," Sanxia water strider virus 15 strain SXSSP1894 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033139.1," Sanxia water strider virus 16 strain SXXX38069 hypothetical protein gene, complete cds"
NC_033077.1," Sanxia water strider virus 17 strain SXSSP1704 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033196.1," Sanxia water strider virus 19 strain SXSSP2568 RdRp and hypothetical protein genes, complete cds"
NC_031141.1," Sanxia Water Strider Virus 1 strain SXSSP08 RNA-dependent RNA polymerase (L) gene, complete cds"
NC_031142.1," Sanxia Water Strider Virus 1 strain SXSSP08 glycoprotein precursor (G) gene, complete cds"
NC_031143.1," Sanxia Water Strider Virus 1 strain SXSSP08 nucleopasid protein (N) gene, complete cds"
NC_032931.1," Sanxia water strider virus 20 strain SXSSP2584 hypothetical protein 1 and hypothetical protein 2 genes, complete cds"
NC_033189.1," Sanxia water strider virus 21 strain SXSSP2576 hypothetical protein gene, complete cds"
NC_031088.1," Sanxia Water Strider Virus 4 strain SXSSP12 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"
NC_031093.1," Sanxia Water Strider Virus 5 strain SXSSP11 nucleocapsid (N), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds"
NC_028368.1," Sanxia water strider virus 6 strain SYSZZ-2 polyprotein gene, complete cds"
NC_033180.1," Sanxia water strider virus 7 strain SXSSP2499 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds"
NC_033194.1," Sanxia water strider virus 8 strain SXSSP2580 hypothetical protein gene, complete cds"
NC_033173.1," Sanxia water strider virus 9 strain SXSSP2367 hypothetical protein gene, complete cds"
NC_006554.1, Sapovirus C12 strain C12
NC_006269.1," Sapovirus Hu/Dresden/pJG-Sap01/DE, complete genome"
NC_027026.1," Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome"
NC_010624.1," Sapovirus Mc10, complete genome"
NC_040540.1," Sarawak virus strain SWK-M26, complete genome"
NC_003631.1," Satellite virus of maize white line mosaic virus, complete genome"
NC_004048.1," Satellites of Trichomonas vaginalis T1 virus, complete genome"
NC_001557.1," Tobacco necrosis satellite virus, complete genome"
NC_043430.1, Satellite tobacco necrosis virus C coat protein
NC_018461.1," Sathuperi virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA"
NC_018466.1," Sathuperi virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA"
NC_018462.1," Sathuperi virus N and NSs genes, segment S, genomic RNA"
NC_003785.2," Satsuma dwarf virus RNA 1, complete sequence"
NC_003786.2," Satsuma dwarf virus RNA 2, complete sequence"
NC_033726.1," Saumarez Reef virus from Australia polyprotein gene, complete cds"
NC_018671.1," Sauropus leaf curl disease associated DNA beta, complete genome"
NC_038455.1," Sauropus leaf curl virus isolate AFSP5e segment A, complete sequence"
NC_025837.1," Sauropus yellowing virus isolate THSP1-B P0, P1-P2 fusion protein, P1, P3-P5 readthrough protein, P3, and P4 genes, complete cds"
NC_003399.1," Scallion mosaic virus, complete genome"
NC_038697.1," Scheffersomyces segobiensis virus L isolate NRRL Y-11571, complete genome"
NC_011659.1," Schlumbergera virus X, complete genome"
NC_043583.1," Schmallenberg virus isolate F6 segment L, complete sequence"
NC_043584.1," Schmallenberg virus isolate F6 segment M, complete sequence"
NC_043582.1," Schmallenberg virus isolate F6 segment S, complete sequence"
NC_005817.1," Sclerophthora macrospora virus A RNA 1, complete sequence"
NC_005818.1," Sclerophthora macrospora virus A RNA 2, complete sequence"
NC_005819.1," Sclerophthora macrospora virus A RNA 3, complete sequence"
NC_004714.1," Sclerophthora macrospora virus B, complete genome"
NC_040631.1," Sclerotinia minor endornavirus 1 strain LC22, complete genome"
NC_030392.1," Sclerotinia nivalis victorivirus 1 isolate SsSn-1.v, complete genome"
NC_023893.1," Sclerotinia sclerotiorum betaendornavirus 1 isolate 11691, complete genome"
NC_027138.1," Sclerotinia sclerotiorum botybirnavirus 1 segment 1, complete sequence"
NC_027139.1," Sclerotinia sclerotiorum botybirnavirus 1 segment 2, complete sequence"
NC_024298.1," Sclerotinia sclerotiorum debilitation-associated RNA virus 2 isolate SX247, complete genome"
NC_007415.1," Sclerotinia sclerotiorum debilitation-associated RNA virus, complete genome"
NC_038977.1," Sclerotinia sclerotiorum deltaflexivirus 1 isolate AX19 polyprotein and hypothetical protein genes, complete cds"
NC_040649.1," Sclerotinia sclerotiorum deltaflexivirus 2 isolate 228, complete genome"
NC_017915.1," Sclerotinia sclerotiorum dsRNA mycovirus-L, complete genome"
NC_021706.1," Sclerotinia sclerotiorum endornavirus-1 strain JZJL2, complete genome"
NC_027208.1," Sclerotinia sclerotiorum fusarivirus 1 strain JMTJ14, complete genome"
NC_013116.1," Sclerotinia sclerotiorum hypovirulence associated DNA virus 1, complete genome"
NC_015939.1," Sclerotinia sclerotiorum hypovirus 1, complete genome"
NC_022896.1," Sclerotinia sclerotiorum hypovirus 2 isolate 5472, complete genome"
NC_027221.1," Sclerotinia sclerotiorum megabirnavirus 1 isolate SX466 segment L1, complete sequence"
NC_027222.1," Sclerotinia sclerotiorum megabirnavirus 1 isolate SX466 segment L2, complete sequence"
NC_026510.1," Sclerotinia sclerotiorum mitovirus 1 HC025, complete genome"
NC_040434.1," Sclerotinia sclerotiorum mitovirus 2, complete genome"
NC_028475.1," Sclerotinia sclerotiorum mitovirus 3 RdRp gene for RNA dependent RNA polymerase, isolate HAZ3-6"
NC_023598.1," Sclerotinia sclerotiorum mitovirus 6 isolate IL1 Pol gene, complete cds"
NC_030158.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 1, complete sequence"
NC_030161.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 2, complete sequence"
NC_030162.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 3, complete sequence"
NC_030159.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 4, complete sequence"
NC_030163.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 5, complete sequence"
NC_030160.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 6, complete sequence"
NC_030152.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 7, complete sequence"
NC_030153.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 8, complete sequence"
NC_030154.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 9, complete sequence"
NC_030155.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 10, complete sequence"
NC_030156.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 11, complete sequence"
NC_030157.1," Sclerotinia sclerotiorum mycoreovirus 4 isolate SX10 segment 12, complete sequence"
NC_025383.1," Sclerotinia sclerotiorum negative-stranded RNA virus 1 strain AH98, complete genome"
NC_026732.1," Sclerotinia sclerotiorum negative-stranded RNA virus 3 isolate IL1 gp6, gp5, gp4, gp3, gp2, and gp1 genes, complete cds"
NC_043483.1," Sclerotinia sclerotiorum negative-stranded RNA virus 4 isolate 257 gp5, RNA-dependent RNA polymerase, gp3, gp2, and gp1 genes, complete cds"
NC_013014.1," Sclerotinia sclerotiorum partitivirus S segment 1, complete genome"
NC_013015.1," Sclerotinia sclerotiorum partitivirus S segment 2, complete genome"
NC_030203.1," Sclerotinia sclerotiorum umbra-like virus 1 isolate IL1 RNA-dependent RNA polymerase and replication-associated protein genes, complete cds"
NC_030888.1," Sclerotium hydrophilum virus 1 isolate ShR#20 putative RNA-dependent RNA polymerase gene, complete cds"
NC_030891.1," Sclerotium hydrophilum virus 1 isolate ShR#77 hypothetical protein genes, complete cds"
NC_038640.1," Scophthalmus maximus reovirus segment L1, complete sequence"
NC_038634.1," Scophthalmus maximus reovirus segment L2, complete sequence"
NC_038635.1," Scophthalmus maximus reovirus segment L3, complete sequence"
NC_038641.1," Scophthalmus maximus reovirus segment M4, complete sequence"
NC_038636.1," Scophthalmus maximus reovirus segment M5, complete sequence"
NC_038637.1," Scophthalmus maximus reovirus segment M6, complete sequence"
NC_038642.1," Scophthalmus maximus reovirus segment S10, complete sequence"
NC_038644.1," Scophthalmus maximus reovirus segment S11, complete sequence"
NC_038643.1," Scophthalmus maximus reovirus segment S7, complete sequence"
NC_038639.1," Scophthalmus maximus reovirus segment S8, complete sequence"
NC_038638.1," Scophthalmus maximus reovirus segment S9, complete sequence"
NC_025387.1," Scophthalmus maximus rhabdovirus, complete genome"
NC_009657.1," Scotophilus bat coronavirus 512, complete genome"
NC_011537.1," Scrophularia mottle virus, complete genome"
NC_024891.1," Seal anellovirus 2, complete genome"
NC_024890.1," Seal anellovirus 3, complete genome"
NC_026138.1," Seal anellovirus 4 ORF1 gene, complete cds"
NC_015212.1," Seal anellovirus TFFN/USA/2006, complete genome"
NC_035188.1," Seal parapoxvirus isolate AFK76s1, complete genome"
NC_009891.1," Seal picornavirus type 1, complete genome"
NC_030837.1," Sea otter parvovirus 1 isolate 4850-06 NS1 (NS1), VP1 (VP1), and VP2 (VP2) genes, complete cds"
NC_025259.1," Sea otter polyomavirus 1 isolate 6831-13, complete genome"
NC_037656.1," Sea otter poxvirus strain ELK, complete genome"
NC_038532.1," Sea star-associated densovirus structural protein and nonstructural protein genes, complete cds"
NC_043625.1," Seattle Prectang virus strain UW1 RNA-dependent RNA polymerase gene, partial cds"
NC_043624.1," Seattle Prectang virus strain UW1 glycoprotein precursor, gene, partial cds"
NC_043626.1," Seattle Prectang virus strain UW1 nucleocapsid gene, partial cds"
NC_012094.1," Sea Turtle Tornovirus 1 pop-variant STTV1-GA1, complete genome"
NC_021482.1," Sebokele virus 1 ORF1 gene for polyprotein, genomic RNA, strain 1"
NC_003215.1," Semliki forest virus, complete genome"
NC_034529.1," Sena Madureira virus nucleoprotein, hypothetical protein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds"
NC_011349.1," Seneca valley virus, complete genome"
NC_006995.1," Senecio yellow mosaic virus, complete genome"
NC_030748.1," Senna leaf curl virus isolate Mohali, complete genome"
NC_030746.1," Senna mosaic virus isolate Brazilian, complete genome"
NC_005238.1, Seoul virus strain Seoul 80-39 clone 1
NC_005237.1," Seoul virus segment M, complete sequence"
NC_005236.1," Seoul virus strain 80-39 segment S, complete sequence"
NC_008719.1," Sepik virus, complete genome"
NC_040548.1," Serinus canaria papillomavirus 1 strain York1, complete genome"
NC_010251.1," Amapari virus segment L, complete sequence"
NC_010247.1," Amapari virus segment S, complete sequence"
NC_043641.1," Serra do Navio virus strain BeAr 103645 segment L, complete sequence"
NC_043639.1," Serra do Navio virus strain BeAr 103645 segment M, complete sequence"
NC_043640.1," Serra do Navio virus strain BeAr 103645 segment S, complete sequence"
NC_047844.1," Serratia phage 2050H2, complete genome"
NC_041917.1," Serratia phage BF, complete genome"
NC_041996.1," Serratia phage CHI14, complete genome"
NC_021563.1," Serratia phage Eta, complete genome"
NC_020083.1," Serratia phage phiMAM1, complete genome"
NC_024121.1," Serratia phage PS2, complete genome"
NC_047774.1," Serratia phage SM9-3Y, complete genome"
NC_042047.1," Serratia phage vB_Sru_IME250, complete genome"
NC_026251.1," Sesavirus CSL10538 NS1 and VP1 genes, complete cds"
NC_002568.2," Sesbania mosaic virus, complete genome"
NC_045512.2," Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"
NC_004718.3," SARS coronavirus, complete genome"
NC_043450.1," Severe fever with thrombocytopenia syndrome virus strain HNXH segment L, complete sequence"
NC_043451.1," Severe fever with thrombocytopenia syndrome virus strain HNXH segment M, complete sequence"
NC_043452.1," Severe fever with thrombocytopenia syndrome virus strain HNXH segment S, complete sequence"
NC_026170.1," Sewage-associated circular DNA molecule-1 isolate NZ-BS4111-2012, complete sequence"
NC_026142.1," Sewage-associated circular DNA molecule-2 isolate NZ-BS3901b-2012, complete sequence"
NC_026143.1," Sewage-associated circular DNA molecule-3 isolate NZ-BS2940-2012, complete sequence"
NC_026187.1," Sewage-associated circular DNA molecule isolate SaCM-4_NZ_BS2920_2012, complete sequence"
NC_040353.1," Sewage-associated circular DNA virus-10 isolate SaCV-10_NZ-BS3946-2012, complete genome"
NC_040354.1," Sewage-associated circular DNA virus-11 isolate SaCV-11_NZ-BS3997-2012, complete genome"
NC_040305.1," Sewage-associated circular DNA virus-12 isolate SaCV-12_NZ-BS3888-2012, complete genome"
NC_040308.1," Sewage-associated circular DNA virus-13 isolate SaCV-13_NZ-BS4044-2012, complete genome"
NC_026257.1," Sewage-associated circular DNA virus-15 isolate SaCV-15_NZ-BS3557-2012, complete genome"
